q,k,omega
1.19225, 0.3, -4.050006103515624
1.19225, 0.3, -3.533917236328125
1.19225, 0.3, -3.4712341308593744
1.19225, 0.3, -2.952154541015625
1.19225, 0.3, -2.537652587890624
1.19225, 0.3, -2.3141662597656247
1.19225, 0.3, -1.5556213378906252
1.19225, 0.3, -1.3693054199218748
1.19225, 0.3, -1.1570739746093746
1.19225, 0.3, -0.6827209472656252
1.19225, 0.3, -0.5785339355468747
1.19225, 1.0, -4.628314208984374
1.19225, 1.0, -4.534185791015625
1.19225, 1.0, -4.049786376953126
1.19225, 1.0, -3.9647033691406253
1.19225, 1.0, -3.877728271484375
1.19225, 1.0, -3.632684326171875
1.19225, 1.0, -3.4712341308593744
1.19225, 1.0, -2.7938293457031245
1.19225, 1.0, -2.0992736816406246
1.19225, 1.0, -1.5224914550781246
1.19225, 1.0, -1.4131408691406246
1.19225, 1.0, -1.278192138671875
1.19225, 1.0, -1.1570739746093746
1.19225, 1.0, -0.7284240722656251
1.19225, 1.0, -0.5785339355468747
1.19225, 0.7, -4.628314208984374
1.19225, 0.7, -4.590045166015624
1.19225, 0.7, -4.050018310546875
1.19225, 0.7, -3.575933837890624
1.19225, 0.7, -3.4712341308593744
1.19225, 0.7, -2.8180236816406246
1.19225, 0.7, -2.457501220703125
1.19225, 0.7, -2.3141662597656247
1.19225, 0.7, -2.0756652832031244
1.19225, 0.7, -1.9040710449218752
1.19225, 0.7, -1.7356140136718747
1.19225, 0.7, -1.681646728515625
1.19225, 0.7, -1.437139892578125
1.19225, 0.7, -1.388909912109375
1.19225, 0.7, -1.1570861816406244
1.19225, 0.7, -0.7834289550781248
1.19225, 0.7, -0.5785339355468747
1.19225, 0.0, -3.988067626953125
1.19225, 0.0, -3.5247131347656246
1.19225, 0.0, -3.4712341308593744
1.19225, 0.0, -2.9673522949218754
1.19225, 0.0, -2.8927185058593747
1.19225, 0.0, -2.7996154785156246
1.19225, 0.0, -2.5553405761718753
1.19225, 0.0, -2.3141662597656247
1.19225, 0.0, -1.8215148925781248
1.19225, 0.0, -1.735601806640625
1.19225, 0.0, -1.581536865234375
1.19225, 0.0, -1.364813232421875
1.19225, 0.0, -1.1570861816406244
1.19225, 0.0, -0.6779968261718751
1.19225, 0.0, -0.5785339355468747
1.19225, 0.2, -4.049774169921875
1.19225, 0.2, -3.5287902832031253
1.19225, 0.2, -3.4712341308593744
1.19225, 0.2, -2.9606140136718753
1.19225, 0.2, -2.5474914550781254
1.19225, 0.2, -2.3141662597656247
1.19225, 0.2, -1.8104919433593745
1.19225, 0.2, -1.7356262207031246
1.19225, 0.2, -1.5700134277343745
1.19225, 0.2, -1.366815185546875
1.19225, 0.2, -1.1570739746093746
1.19225, 0.2, -0.680096435546875
1.19225, 0.2, -0.5785339355468747
1.19225, 0.9, -4.628314208984374
1.19225, 0.9, -4.555072021484374
1.19225, 0.9, -4.049786376953126
1.19225, 0.9, -3.611053466796875
1.19225, 0.9, -3.4712341308593744
1.19225, 0.9, -2.892694091796875
1.19225, 0.9, -2.0905456542968746
1.19225, 0.9, -1.8230163574218747
1.19225, 0.9, -1.7356140136718747
1.19225, 0.9, -1.5836608886718748
1.19225, 0.9, -1.4042175292968753
1.19225, 0.9, -1.3379943847656248
1.19225, 0.9, -1.1570739746093746
1.19225, 0.9, -0.7191711425781251
1.19225, 0.9, -0.5785339355468747
1.19225, 0.8, -4.628314208984374
1.19225, 0.8, -4.573687744140624
1.19225, 0.8, -4.049786376953126
1.19225, 0.8, -3.5922180175781246
1.19225, 0.8, -3.4712341308593744
1.19225, 0.8, -2.8234436035156247
1.19225, 0.8, -2.426751708984375
1.19225, 0.8, -2.3141662597656247
1.19225, 0.8, -2.0826721191406246
1.19225, 0.8, -1.866400146484375
1.19225, 0.8, -1.7356140136718747
1.19225, 0.8, -1.636444091796875
1.19225, 0.8, -1.1570739746093746
1.19225, 0.8, -0.7107727050781252
1.19225, 0.8, -0.5785339355468747
1.19225, 0.5, -4.050018310546875
1.19225, 0.5, -3.550506591796875
1.19225, 0.5, -3.4712341308593744
1.19225, 0.5, -2.9249450683593747
1.19225, 0.5, -2.5059020996093753
1.19225, 0.5, -2.3141662597656247
1.19225, 0.5, -2.064349365234375
1.19225, 0.5, -1.963287353515625
1.19225, 0.5, -1.508795166015625
1.19225, 0.5, -1.3772155761718752
1.19225, 0.5, -1.1570739746093746
1.19225, 0.5, -0.9166809082031245
1.19225, 0.5, -0.8295104980468746
1.19225, 0.5, -0.691021728515625
1.19225, 0.5, -0.5785339355468747
1.19225, 0.1, -3.9878723144531247
1.19225, 0.1, -3.5257385253906244
1.19225, 0.1, -3.4712341308593744
1.19225, 0.1, -2.9656677246093754
1.19225, 0.1, -2.8927185058593747
1.19225, 0.1, -2.799993896484375
1.19225, 0.1, -2.5533752441406246
1.19225, 0.1, -2.3141662597656247
1.19225, 0.1, -1.8187561035156246
1.19225, 0.1, -1.7356262207031246
1.19225, 0.1, -1.5787048339843746
1.19225, 0.1, -1.3653137207031247
1.19225, 0.1, -1.1570739746093746
1.19225, 0.1, -0.6785217285156251
1.19225, 0.1, -0.5785461425781248
1.19225, 0.4, -4.050006103515624
1.19225, 0.4, -3.5411437988281245
1.19225, 0.4, -3.4712341308593744
1.19225, 0.4, -2.9402770996093746
1.19225, 0.4, -2.523809814453125
1.19225, 0.4, -2.3141662597656247
1.19225, 0.4, -2.0600769042968756
1.19225, 0.4, -1.984735107421875
1.19225, 0.4, -1.5351745605468747
1.19225, 0.4, -1.372772216796875
1.19225, 0.4, -1.1570739746093746
1.19225, 0.4, -0.6863708496093751
1.19225, 0.4, -0.5785461425781248
1.19225, 0.6, -4.050018310546875
1.19225, 0.6, -3.562078857421875
1.19225, 0.6, -3.4712341308593744
1.19225, 0.6, -2.906085205078125
1.19225, 0.6, -2.483831787109375
1.19225, 0.6, -2.3141662597656247
1.19225, 0.6, -2.069561767578125
1.19225, 0.6, -1.9362487792968754
1.19225, 0.6, -1.475958251953125
1.19225, 0.6, -1.382598876953125
1.19225, 0.6, -1.1570739746093746
1.19225, 0.6, -0.8501281738281247
1.19225, 0.6, -0.7738952636718749
1.19225, 0.6, -0.6966613769531251
1.19225, 0.6, -0.5785339355468747
