K_values,Eigenvalues
0.4,6.898677925211926e-12 - 4.250965870316659im
0.4,1.6556849224969115e-11 - 4.250966712137066im
0.4,6.298796267176617e-12 - 4.2509667736950565im
0.4,4.1392120841976736e-11 - 4.250965963353714im
0.4,2.7594748708281858e-11 - 4.250965041253302im
0.4,1.0348027990048134e-11 - 2.0686158191412662im
0.4,2.7594748708281858e-11 - 4.250965093904075im
0.4,1.2417626926719615e-11 - 4.250966368094088im
0.4,1.2417631367611713e-11 - 4.250966694876553im
0.4,1.1288751751563286e-11 - 4.250964992425661im
0.4,2.069605598009627e-11 - 4.250965013417106im
0.4,4.139212306242279e-11 - 4.250965077740453im
0.4,8.27841795114641e-12 - 4.250964984993142im
0.4,3.980006068305717e-12 - 4.250965842480463im
0.4,8.86973351908544e-12 - 4.250966325029732im
0.4,6.898681625955342e-12 - 4.250966330203746im
0.4,5.174011219466506e-12 - 4.250965109808993im
0.4,5.174011219466506e-12 - 0.6864331261254852im
0.4,3.8805070268210986e-12 - 4.250964977149853im
0.4,5.174011219466506e-12 - 4.250966289049635im
0.4,2.069602267340553e-12 - 4.250965876157086im
0.4,8.623346481329053e-12 - 4.250966136105774im
0.4,3.8805070268210986e-12 - 4.250966037600302im
0.4,4.024232798845657e-12 - 4.25096601816584im
0.4,8.869730347019654e-12 - 4.250966078096202im
0.4,1.7246722568605427e-12 - 4.250966011060195im
0.4,7.761014053642197e-12 - 4.250966073339805im
0.4,5.174009369094798e-12 - 4.250966283627268im
0.4,1.8971380022492313e-11 - 4.25096611716888im
0.4,2.8744512942719613e-12 - 4.25096666968462im
0.4,5.913152507324508e-12 - 4.250966859147662im
0.4,3.880510727564515e-12 - 4.250966049334966im
0.4,5.174009369094798e-12 - 4.250965992826967im
0.4,1.0348022438933012e-11 - 4.2509658539667745im
0.4,2.5870028341756914e-12 - 4.250966126269971im
0.4,2.5870028341756914e-12 - 4.250965816372387im
0.4,3.4493398036840114e-12 - 4.250964960124759im
0.4,2.5870083852908144e-12 - 4.250966046176231im
0.4,1.2935041926454072e-12 - 4.250966058291185im
0.4,2.778636580084533e-12 - 4.250964952490214im
0.4,6.515417834881072e-12 - 4.250964942197374im
0.4,3.640973942095943e-12 - 4.2509649364484705im
0.4,5.653090341518771e-12 - 4.25096684677791im
0.4,1.4372305814605345e-12 - 4.250964948714333im
0.5,2.4835267176115525e-11 - 2.0728988438844675im
0.5,2.069605875565383e-11 - 2.783383953881758im
0.5,2.0068900077128443e-11 - 4.254861413521902im
0.5,2.0696061531211394e-11 - 1.3759677912419033im
0.5,1.0348022438933012e-11 - 0.6910923168063152im
0.6,3.311369400904613e-11 - 4.259602855245275im
0.6,2.4835267176115525e-11 - 0.696735998988151im
0.6,1.8971385573607434e-11 - 4.259603102360337im
0.6,1.0348026139676427e-11 - 4.259603095427158im
0.6,2.8457081135968714e-11 - 4.259602945825709im
0.6,3.311369844993823e-11 - 1.381331171294054im
0.6,2.0696057566129163e-11 - 4.259597790596034im
0.6,2.0696059680839683e-11 - 4.259602538496259im
0.6,2.0696059680839686e-11 - 4.2595947278042665im
0.6,1.1037895042420644e-11 - 2.788450957900945im
0.6,2.069605820054232e-11 - 4.259603032420083im
0.6,2.149205770616804e-11 - 4.2596028830283im
0.6,9.198244635102732e-12 - 4.2596029386200325im
0.6,8.278422392038508e-12 - 4.259603066543741im
0.6,2.069605598009627e-11 - 2.07810237649828im
0.6,7.76101960475732e-12 - 4.2596030735410775im
0.6,5.8638797521363814e-12 - 4.259602952707149im
0.6,8.869736691151223e-12 - 4.259603060249774im
0.6,2.069605598009627e-11 - 4.259596918957932im
0.6,2.069605598009627e-11 - 4.259597026618821im
0.6,7.884217088717744e-12 - 3.5135365789963138im
0.6,8.27841795114641e-12 - 4.259597767690821im
0.6,3.8805070268210986e-12 - 4.259602463524792im
0.6,3.066088124133649e-12 - 3.5135365869206048im
0.6,1.0348022438933012e-11 - 4.259597749573493im
0.6,2.069605598009627e-11 - 4.259594830187662im
0.6,2.069605598009627e-11 - 4.259594770583017im
0.6,3.449339226944778e-12 - 4.259602941933372im
0.6,5.174008840417168e-12 - 4.2596029039028895im
0.6,7.391439841139189e-12 - 4.259602892381099im
0.6,5.17400751872309e-12 - 4.259602899104363im
0.6,3.8805070268210986e-12 - 4.2596024590544435im
0.6,1.1037903924204843e-11 - 3.513536516047187im
0.6,5.174005668351383e-12 - 4.259602888921901im
0.6,3.854387516226303e-12 - 4.259602417939687im
0.6,2.2995660931002367e-12 - 3.513536592897166im
0.6,8.084402591812576e-12 - 4.259602410536417im
0.7,1.6556849224969115e-11 - 4.265158085525037im
0.7,1.3245476271350823e-10 - 4.265160152912142im
0.7,4.8506421101990574e-12 - 4.265159154630966im
0.7,1.986821462907084e-10 - 4.2651571726799045im
0.7,2.1207070667451877e-11 - 4.2651585533893055im
0.7,2.4835267176115525e-11 - 4.26515913307667im
0.7,2.257752167041243e-11 - 3.5192865489558756im
0.7,2.299561775566252e-11 - 4.265158199187784im
0.7,1.8396494204530017e-11 - 4.265158738195898im
0.7,6.898681625955342e-12 - 4.265159341755016im
0.7,3.3113694009046134e-11 - 4.2651590764522584im
0.7,2.4835267176115525e-11 - 4.265158276557924im
0.7,1.0348027990048134e-11 - 4.265159691311419im
0.7,8.936927965340771e-12 - 4.265158061463048im
0.7,1.5920043061612513e-11 - 4.265158702146551im
0.7,9.35302604596285e-12 - 4.265159323951232im
0.7,6.652299346297632e-12 - 4.265158238887257im
0.7,2.0696061531211394e-11 - 0.7033349388589447im
0.7,1.6556849224969115e-11 - 4.265157553553582im
0.7,2.069605598009627e-11 - 4.2651581956694535im
0.7,1.1826317702912154e-11 - 4.265158096381597im
0.7,8.968288334187992e-12 - 4.265158651135865im
0.7,3.311369844993823e-11 - 4.265158048272134im
0.7,2.5870028341756914e-12 - 3.5192865196770704im
0.7,2.7594748708281858e-11 - 3.5192865699943585im
0.7,1.72467151671186e-11 - 2.794396341147106im
0.7,2.0696061531211394e-11 - 3.5192865678419682im
0.7,5.174011219466506e-12 - 4.265157016552989im
0.7,1.6556844784077015e-11 - 4.265158093124629im
0.7,1.0348027990048134e-11 - 4.2651582205668115im
0.7,8.278422392038508e-12 - 4.265158646702769im
0.7,1.5522041985072202e-11 - 4.265158613305541im
0.7,2.069605598009627e-11 - 4.265159348305318im
0.7,1.0348027990048134e-11 - 4.265159794129433im
0.7,1.8396494204530017e-11 - 4.265159606850812im
0.7,1.5522039209514638e-11 - 3.519286435438943im
0.7,1.3797374354140929e-11 - 1.3876183445461912im
0.7,1.505167707643365e-11 - 4.2651582905514696im
0.7,1.0348027990048134e-11 - 4.26515828613192im
0.7,6.155290070745258e-12 - 4.265159146474335im
0.7,1.0348027990048134e-11 - 4.265159242786469im
0.7,1.0348027990048134e-11 - 4.265158539451661im
0.7,1.2417626926719615e-11 - 4.265157776623966im
0.7,1.6556844784077015e-11 - 4.2651581571996235im
0.7,8.869731933052545e-12 - 4.265157760626505im
0.7,2.0696061531211394e-11 - 3.5192865985756145im
0.7,4.139208975573205e-12 - 4.265157007426028im
0.7,2.0696061531211394e-11 - 3.519286555362246im
0.7,8.27841795114641e-12 - 4.265157372504476im
0.7,2.069605598009627e-11 - 4.265158190764488im
0.7,2.069605598009627e-11 - 4.265158321894708im
0.7,1.0348027990048134e-11 - 4.265159248095008im
0.7,2.4835267176115525e-11 - 4.265158923268321im
0.7,8.795818517981547e-12 - 4.265158867265824im
0.7,4.139204534681106e-12 - 4.265159660018982im
0.7,2.069605598009627e-11 - 4.265159163810314im
0.7,2.4835267176115525e-11 - 4.265159567147495im
0.7,1.0348027990048134e-11 - 4.265159587003292im
0.7,2.069605598009627e-11 - 4.265158906020227im
0.7,1.2417626926719613e-11 - 3.5192865311354424im
0.7,1.0348027990048134e-11 - 4.265159600600603im
0.7,2.069605598009627e-11 - 4.265158916451039im
0.7,4.91530705026835e-12 - 4.265159128014933im
0.7,5.174011219466506e-12 - 4.265158604364844im
0.7,1.0348022438933012e-11 - 4.265157970227303im
0.7,5.174011219466506e-12 - 2.0842076408676826im
0.7,4.139208975573205e-12 - 4.265157029777768im
0.7,5.174011219466506e-12 - 4.265157203003768im
0.7,5.174011219466506e-12 - 4.265157368406655im
0.7,2.5870083852908144e-12 - 4.265157816279681im
0.7,4.139204534681106e-12 - 4.265158209502698im
0.7,5.174011219466506e-12 - 4.265158074721695im
0.7,1.0348027990048134e-11 - 4.26515871845186im
0.7,2.069605598009627e-11 - 4.265158748067918im
0.7,5.1740084439089445e-12 - 4.265158512908967im
0.7,6.898677925211926e-12 - 4.265158881930017im
0.7,2.069602267340553e-12 - 4.265158962197605im
0.7,2.069605598009627e-11 - 4.265159260667863im
0.7,2.5870028341756914e-12 - 4.26515980004333im
0.7,7.329847839798769e-12 - 4.265159101272006im
0.7,1.034802465937906e-11 - 4.26515981566161im
0.7,3.449337112234255e-12 - 4.265158318169417im
0.7,4.139204534681106e-12 - 4.26515853494406im
0.7,5.174005668351383e-12 - 3.519286535152546im
0.7,6.208811242913758e-12 - 4.265158261917533im
0.7,2.5870028341756914e-12 - 4.265158631419766im
0.7,2.5870028341756914e-12 - 4.265158505225555im
0.7,4.860433267982593e-12 - 4.265157979235732im
0.7,5.487584124482125e-12 - 4.265159680883429im
0.7,1.0975200546361328e-12 - 4.265159868587261im
0.7,1.0348020218486963e-11 - 4.2651596722379335im
0.7,3.425393302336506e-12 - 4.2651573248078245im
0.7,1.6425432442750812e-12 - 4.265159874328625im
0.7,4.829079358614788e-12 - 4.265157837048173im
0.7,4.656612873077418e-12 - 4.265158297950403im
0.7,5.174005668351383e-12 - 4.265159841720016im
0.7,2.5870083852908144e-12 - 4.265158499358224im
0.7,2.5870028341756914e-12 - 4.265158626949417im
0.7,7.895166002451071e-12 - 4.26515993718472im
0.7,6.114745073918244e-12 - 4.265159922279417im
0.7,8.6233575835593e-12 - 4.265159917250276im
0.7,3.4493430334237194e-12 - 4.265159897431732im
0.7,1.379745206975265e-12 - 4.265159904360772im
0.7,3.4493408129776705e-12 - 4.265159929729999im
0.8,1.6556846264374382e-11 - 4.271512414415682im
0.8,1.6556844784077015e-11 - 4.271512898951771im
0.8,6.622738357720016e-11 - 2.8011987030506114im
0.8,1.9217765474215803e-11 - 4.271512731989582im
0.8,1.0348027990048134e-11 - 4.271512701548638im
0.8,2.0696061531211394e-11 - 0.710855729257067im
0.8,1.1037899483312743e-11 - 1.3948041128284387im
0.8,1.0348027990048134e-11 - 4.271512846834961im
0.8,1.8396494204530017e-11 - 4.2715127059982905im
0.8,3.449340812977671e-12 - 4.271512402283652im
0.8,3.8805070268210986e-12 - 4.271512614865791im
0.8,9.313225746154834e-12 - 4.271512604088836im
0.8,1.2736029325183748e-11 - 4.271512067174686im
0.8,1.0348027990048134e-11 - 4.271512034162883im
0.8,1.0348027990048134e-11 - 2.091192495450377im
0.8,1.2072693955644872e-11 - 4.271512581803321im
0.8,1.0348027990048134e-11 - 4.271512692607941im
0.8,4.484138986053215e-12 - 4.271512447266533im
0.8,1.2288278727901125e-11 - 4.271512468077713im
0.8,6.652296174231848e-12 - 4.2715126462413835im
0.8,2.9565746676293616e-12 - 4.2715125130223415im
0.8,9.198239700778178e-12 - 3.5258632661705755im
0.8,4.714095780400409e-12 - 4.2715125354110395im
0.8,2.069605598009627e-11 - 4.271512658335272im
0.8,5.1740078887974325e-12 - 4.271512442175302im
0.8,3.3343698172909044e-12 - 4.271512545943954im
0.8,1.6556844784077015e-11 - 4.271512665599587im
0.8,3.104410062348977e-12 - 4.271512557857983im
0.8,3.880512577936222e-12 - 4.271512618684214im
0.8,2.587008385290815e-12 - 4.2715125099849im
0.8,2.5870083852908144e-12 - 4.27151239025407im
0.8,5.1740130698382135e-12 - 4.271512559915172im
0.8,3.1270571990402078e-12 - 4.271511961697833im
0.8,3.0660844233902338e-12 - 4.271512538870732im
0.8,5.174016770581629e-12 - 4.271512530340507im
0.8,8.62335018207247e-12 - 4.271512496160969im
0.8,6.208811242913758e-12 - 4.271512504294519im
0.8,1.8141029419401492e-12 - 4.27151188526257im
0.8,2.5870028341756914e-12 - 4.271512476773937im
0.8,1.3797363251910683e-12 - 4.271511977116271im
0.8,4.886580029506174e-12 - 4.271511860419482im
0.8,1.3893219907856819e-12 - 4.271511901549447im
0.9,3.973642881405246e-10 - 4.278642547130586im
0.9,1.6556849224969115e-11 - 4.278642914891246im
0.9,6.622738357720016e-11 - 4.278638356924059im
0.9,3.311369844993823e-11 - 4.278643213212494im
0.9,3.311369844993823e-11 - 4.278638307750226im
0.9,1.442452285562192e-11 - 4.27864266258072im
0.9,1.7739476554368232e-11 - 4.278642691778286im
0.9,1.8814596345542062e-11 - 4.2786428813907245im
0.9,1.3797370653397513e-11 - 4.2786430747972615im
0.9,2.069605598009627e-11 - 4.278642646409573im
0.9,4.434862001444042e-12 - 4.27863905272846im
0.9,6.898681625955342e-12 - 4.278642628714445im
0.9,1.6556844784077015e-11 - 2.099031514078381im
0.9,1.8814596345542062e-11 - 4.278642814809628im
0.9,1.1826317702912154e-11 - 4.278643175853153im
0.9,1.7739476554368232e-11 - 4.2786438585392075im
0.9,1.3797370653397513e-11 - 4.278639060693484im
0.9,8.27841795114641e-12 - 4.278642734885217im
0.9,1.6556844784077015e-11 - 0.7192613247036925im
0.9,2.4835267176115525e-11 - 4.278637939989569im
0.9,2.4835267176115525e-11 - 4.278637978732587im
0.9,1.5522041985072202e-11 - 4.278638077527286im
0.9,1.6556844784077015e-11 - 4.278642842471601im
0.9,7.761025155872444e-12 - 4.278642764547841im
0.9,6.5605089987992505e-12 - 4.278638092928805im
0.9,1.655684478407702e-11 - 1.4028598400453738im
0.9,1.0348027990048134e-11 - 4.278637888655068im
0.9,8.278422392038508e-12 - 2.808833413571118im
0.9,5.913152507324508e-12 - 4.278639076330835im
0.9,1.0348027990048134e-11 - 4.2786379169672735im
0.9,2.069605375965022e-11 - 4.278643126562239im
0.9,1.2417631367611713e-11 - 4.2786383212357775im
0.9,5.174011219466506e-12 - 4.278637929540129im
0.9,8.27841795114641e-12 - 4.278642590343954im
0.9,8.27841351025431e-12 - 4.278637903034688im
0.9,8.278422392038508e-12 - 4.278642868250611im
0.9,6.898677925211926e-12 - 4.2786438067754125im
0.9,1.0348020218486963e-11 - 4.278643171302976im
0.9,1.0348022438933012e-11 - 4.278643823601308im
0.9,2.5870028341756914e-12 - 4.278638118645178im
0.9,1.5522039209514638e-11 - 4.278642859775575im
0.9,2.5870028341756914e-12 - 4.278643799899148im
0.9,6.6112399505553334e-12 - 4.2786430364526415im
0.9,4.601115784671137e-12 - 4.278637862223365im
0.9,2.5870028341756914e-12 - 4.2786428996827475im
0.9,1.7246704064888353e-12 - 4.278638218839965im
0.9,8.623379788019792e-13 - 4.278638202945393im
1.0,5.644373857194325e-12 - 4.286510849913415im
1.0,2.069605598009627e-11 - 4.286517789028586im
1.0,2.4835267176115525e-11 - 4.2865161834657215im
1.0,2.2577515614650475e-11 - 4.286516126109796im
1.0,1.6815544789938828e-11 - 4.286515855346808im
1.0,2.2577515614650475e-11 - 4.286517385325651im
1.0,8.869736691151223e-12 - 4.286517298700556im
1.0,1.4947147223646653e-11 - 4.286516989705466im
1.0,1.6556844784077015e-11 - 4.286515910848977im
1.0,2.069605598009627e-11 - 4.286516109667721im
1.0,2.299561775566252e-11 - 4.286520243518884im
1.0,1.7739476554368232e-11 - 4.28652143542256im
1.0,1.3797370653397513e-11 - 4.28651277466367im
1.0,2.7594748708281858e-11 - 0.7285116244935312im
1.0,4.089135481834684e-12 - 4.286516745353962im
1.0,1.8814596345542062e-11 - 4.286517160453583im
1.0,1.7127770466286566e-11 - 4.286517149004446im
1.0,2.228806028625752e-11 - 4.2865129256477745im
1.0,1.182631664555689e-11 - 4.286516044359834im
1.0,2.228806028625752e-11 - 4.286516117419189im
1.0,1.3797370653397513e-11 - 4.286511314743097im
1.0,1.693313368310688e-11 - 4.286516139893371im
1.0,1.6556844784077015e-11 - 4.286516859531405im
1.0,1.6556844784077015e-11 - 4.28651601240039im
1.0,2.069605598009627e-11 - 4.286517773345116im
1.0,2.299561775566252e-11 - 4.286520324150723im
1.0,1.5920043061612513e-11 - 4.286520292266058im
1.0,2.069605598009627e-11 - 4.286516560912135im
1.0,2.4835267176115525e-11 - 4.2865163463354135im
1.0,1.5522041985072202e-11 - 4.286515867197887im
1.0,1.8396494204530017e-11 - 4.2865113219453255im
1.0,6.8986871770704645e-12 - 1.4117537016462962im
1.0,1.6556844784077015e-11 - 4.286517743170262im
1.0,1.5522041985072202e-11 - 4.286517758015545im
1.0,2.299561775566252e-11 - 4.286517244825763im
1.0,2.299561775566252e-11 - 4.286517027599947im
1.0,1.910405167393502e-11 - 4.286517904985411im
1.0,2.4835267176115525e-11 - 4.286517518758775im
1.0,1.910405167393502e-11 - 4.286521385036985im
1.0,1.7739476554368232e-11 - 4.286518072762662im
1.0,1.505167707643365e-11 - 4.286521343548191im
1.0,2.069605598009627e-11 - 4.286518085300925im
1.0,7.473574845404464e-12 - 4.286517334905351im
1.0,1.6556844784077015e-11 - 4.286520262211563im
1.0,2.299561775566252e-11 - 4.286520380775135im
1.0,1.3304605036726833e-11 - 4.286516595232702im
1.0,8.278422392038508e-12 - 4.286516513675453im
1.0,1.4901158529312474e-11 - 4.28651627187431im
1.0,1.7246712699956322e-11 - 4.28651682885571im
1.0,2.069605598009627e-11 - 4.286512846127155im
1.0,1.4228535016869234e-11 - 4.286517572333107im
1.0,2.069605598009627e-11 - 4.2865171150614865im
1.0,1.1826317702912154e-11 - 4.286520409903358im
1.0,1.3797370653397513e-11 - 4.286517234146598im
1.0,6.898679158793064e-12 - 4.2865170441981855im
1.0,1.1087167691873243e-11 - 4.286516995821151im
1.0,8.278422392038508e-12 - 4.286517003923658im
1.0,2.069605598009627e-11 - 4.286516313379011im
1.0,2.6609213245519456e-11 - 4.286512863369926im
1.0,7.76101960475732e-12 - 4.2865112270694254im
1.0,1.6556844784077015e-11 - 4.2865129189193265im
1.0,2.069605598009627e-11 - 2.8172727936878785im
1.0,4.139212306242279e-11 - 2.107696120006343im
1.0,8.278422392038508e-12 - 4.2865165643394025im
1.0,8.278422392038508e-12 - 4.286516766846183im
1.0,1.0348025466813986e-11 - 4.286516547321599im
1.0,1.0348027990048134e-11 - 4.286516369320454im
1.0,1.6556844784077015e-11 - 4.286515955775978im
1.0,5.174005668351383e-12 - 4.286516169738027im
1.0,1.6556844784077015e-11 - 4.286516030281784im
1.0,1.6556844784077015e-11 - 4.286517170369628im
1.0,2.4835267176115525e-11 - 4.286517722755672im
1.0,1.6556844784077015e-11 - 4.286517733484508im
1.0,1.0348027990048134e-11 - 4.286517059244219im
1.0,1.0348027990048134e-11 - 4.286517296172681im
1.0,1.0348027990048134e-11 - 4.286517929472031im
1.0,2.4835267176115525e-11 - 4.286520256102087im
1.0,1.1826312944813478e-11 - 4.286518116774305im
1.0,6.208809022467708e-12 - 4.286520548947157im
1.0,1.6556844784077015e-11 - 4.286520386487247im
1.0,1.264758668166154e-11 - 4.286520367260611im
1.0,5.174009369094798e-12 - 4.286518297561757im
1.0,1.0671398487094364e-11 - 4.286517618474319im
1.0,6.726210699525872e-12 - 4.28651760033332im
1.0,1.0348027990048134e-11 - 4.2865127783268715im
1.0,1.0348027990048134e-11 - 4.286517196521166im
1.0,6.898677925211926e-12 - 4.2865175761282455im
1.0,4.434862001444042e-12 - 4.286516365382291im
1.0,1.0348020218486963e-11 - 4.286516238860788im
1.0,8.278422392038508e-12 - 4.2865171320736435im
1.0,5.174011219466506e-12 - 4.286510323081167im
1.0,1.0348027990048134e-11 - 4.286511307582261im
1.0,2.069605598009627e-11 - 4.286516796983781im
1.0,1.0348027990048134e-11 - 4.286516917869452im
1.0,2.069605598009627e-11 - 4.286515923775735im
1.0,1.0348027990048134e-11 - 4.286516888067129im
1.0,6.208811242913758e-12 - 4.286516602300109im
1.0,2.069605598009627e-11 - 4.28651798758656im
1.0,1.0348027990048134e-11 - 4.286518093571069im
1.0,2.069602267340553e-12 - 4.286517327167096im
1.0,2.069605598009627e-11 - 4.286517318524422im
1.0,2.069605598009627e-11 - 4.286521495319906im
1.0,1.0348027990048134e-11 - 4.286517497524621im
1.0,2.5870028341756914e-12 - 4.286515935277568im
1.0,2.9565746676293616e-12 - 4.286512859431762im
1.0,2.9565746676293616e-12 - 4.28651616408357im
1.0,8.623346481329053e-12 - 4.286516960120452im
1.0,2.069602267340553e-12 - 4.286516200713816im
1.0,5.174005668351383e-12 - 4.286512879002839im
1.0,7.525830463867556e-12 - 4.286516532437371im
1.0,2.069602267340553e-12 - 4.28651632588357im
1.0,2.5870028341756914e-12 - 4.286517048859971im
1.0,2.5870028341756914e-12 - 4.286517563974487im
1.0,6.46750986099679e-12 - 4.286517555988395im
1.0,2.5870028341756914e-12 - 4.286518104048447im
1.0,2.5870028341756914e-12 - 4.286517443647609im
1.0,6.036341796781654e-12 - 4.28651615379689im
1.0,4.139204534681106e-12 - 4.286517532840373im
1.0,4.3979109243253105e-12 - 4.286521554047555im
1.0,2.5870028341756914e-12 - 4.286517551122234im
1.0,7.186085060340057e-13 - 4.286516083774366im
1.0,8.919087690628703e-13 - 4.286512956181589im
